 -8.1234728e+000 -6.2626182e-001 -3.3338296e-001 -9.4299882e-003  2.0658142e-001  1.8557208e-001  3.1534774e-001  2.9464786e-001  2.8555880e-001  3.0352827e-001  2.0298960e-001  2.6074216e-001  1.1233691e-001  2.2279488e-001  1.3078120e-001
 -8.1239809e+000 -6.2733029e-001 -3.3418470e-001 -9.6557139e-003  2.0685009e-001  1.8619855e-001  3.1631931e-001  2.9554825e-001  2.8601206e-001  3.0382375e-001  2.0302742e-001  2.6052841e-001  1.1207846e-001  2.2245022e-001  1.3048838e-001
 -8.1248122e+000 -6.2945706e-001 -3.3582966e-001 -1.0716167e-002  2.0645480e-001  1.8666402e-001  3.1817225e-001  2.9775591e-001  2.8757770e-001  3.0490187e-001  2.0341644e-001  2.6026602e-001  1.1147199e-001  2.2167042e-001  1.2999027e-001
 -8.1240336e+000 -6.2760558e-001 -3.3442104e-001 -1.0019804e-002  2.0646389e-001  1.8594254e-001  3.1644657e-001  2.9593591e-001  2.8645789e-001  3.0416599e-001  2.0324078e-001  2.6061598e-001  1.1202023e-001  2.2235943e-001  1.3048315e-001
 -8.1238227e+000 -6.2690388e-001 -3.3381875e-001 -9.4504047e-003  2.0686513e-001  1.8605019e-001  3.1596192e-001  2.9515037e-001  2.8575031e-001  3.0363819e-001  2.0295223e-001  2.6057209e-001  1.1217235e-001  2.2257829e-001  1.3058522e-001
 -8.1238426e+000 -6.2728239e-001 -3.3423050e-001 -1.0104940e-002  2.0619994e-001  1.8558181e-001  3.1606470e-001  2.9569022e-001  2.8642894e-001  3.0418451e-001  2.0335511e-001  2.6079670e-001  1.1215783e-001  2.2250731e-001  1.3061937e-001
 -8.1235187e+000 -6.2695982e-001 -3.3414783e-001 -1.0607452e-002  2.0539922e-001  1.8477848e-001  3.1560282e-001  2.9564429e-001  2.8674884e-001  3.0448053e-001  2.0370131e-001  2.6113443e-001  1.1230603e-001  2.2266001e-001  1.3082664e-001
 -8.1246623e+000 -6.2839220e-001 -3.3477039e-001 -9.2069494e-003  2.0794283e-001  1.8757652e-001  3.1762049e-001  2.9627973e-001  2.8596048e-001  3.0364098e-001  2.0254558e-001  2.5985821e-001  1.1161586e-001  2.2196184e-001  1.3001110e-001
 -8.1227796e+000 -6.2579057e-001 -3.3343868e-001 -1.1011073e-002  2.0428466e-001  1.8333578e-001  3.1423462e-001  2.9486882e-001  2.8680900e-001  3.0464450e-001  2.0411030e-001  2.6172768e-001  1.1270655e-001  2.2312729e-001  1.3131623e-001
 -8.1244546e+000 -6.2858046e-001 -3.3518336e-001 -1.0404031e-002  2.0646109e-001  1.8628594e-001  3.1725014e-001  2.9682676e-001  2.8703796e-001  3.0457869e-001  2.0340322e-001  2.6052393e-001  1.1181384e-001  2.2206144e-001  1.3026239e-001
